target_index,alpha_raw,alpha_clipped,alpha_shrunk,denominator,reliability,support_in_degree,support_out_degree,support_total_degree,ridge_in_degree,ridge_out_degree,ridge_total_degree,weighted_in_degree,weighted_out_degree,weighted_total_degree,val_baseline_sse,val_baseline_sae,val_static_mean_sse,val_static_mean_sae,val_best_single_sse,val_best_single_sae,val_stage2_sse,val_stage2_sae,val_correction_energy,val_baseline_err_dot_correction,val_baseline_mse,val_baseline_mae,val_static_mean_mse,val_static_mean_mae,val_best_single_mse,val_best_single_mae,val_stage2_mse,val_stage2_mae,val_stage2_mse_gain_vs_best_single_pct,val_stage2_mae_gain_vs_best_single_pct,val_stage2_mse_gain_vs_static_mean_pct,val_stage2_mae_gain_vs_static_mean_pct,val_stage2_mse_gain_vs_baseline_pct,val_stage2_mae_gain_vs_baseline_pct,val_correction_energy_share_pct,test_baseline_sse,test_baseline_sae,test_static_mean_sse,test_static_mean_sae,test_best_single_sse,test_best_single_sae,test_stage2_sse,test_stage2_sae,test_correction_energy,test_baseline_err_dot_correction,test_baseline_mse,test_baseline_mae,test_static_mean_mse,test_static_mean_mae,test_best_single_mse,test_best_single_mae,test_stage2_mse,test_stage2_mae,test_stage2_mse_gain_vs_best_single_pct,test_stage2_mae_gain_vs_best_single_pct,test_stage2_mse_gain_vs_static_mean_pct,test_stage2_mae_gain_vs_static_mean_pct,test_stage2_mse_gain_vs_baseline_pct,test_stage2_mae_gain_vs_baseline_pct,test_correction_energy_share_pct,alpha_rank_pct,weighted_degree_rank_pct,energy_rank_pct,test_gain_rank_pct,static_corridor_score,stress_corridor_score,overall_corridor_score
329,0.8367592732427314,0.8367592732427314,0.8046114421811966,997.0732022124336,0.6021544787080023,368,382,750,28,25,53,1.2390115419402719,0.6838831109926105,1.9228946529328823,47927.24401587127,58277.28431842476,47255.696697442574,57786.75465187477,47365.37440887511,57950.72875201423,47230.157605936394,57762.348553685006,997.073202212433,834.3102480530788,0.3005672035914062,0.365475644180368,0.2963557137858881,0.3623993744473383,0.2970435380849583,0.36342770891038423,0.29619554990678554,0.3622463159347093,0.28547605635179324,0.32506959340468083,0.05404447144159843,0.04223476181833754,1.4544679633655355,0.883596019893727,0.11199557899705823,130244.97644025472,138023.02639850765,129626.3101894981,137321.7215570002,130165.24616380576,138079.39014191972,129385.12211310177,137193.81328829133,2303.0600514772427,1460.8631379362319,0.3975149442091962,0.4212539872012271,0.3956267402502017,0.4191135656466702,0.3972716029513556,0.4214260124948717,0.3948906207671091,0.418723182464997,0.5993335960984921,0.6413533929416836,0.1860641377847881,0.09314496443722359,0.660182335360453,0.6007788206455942,0.10944320293916439,0.40023201856148494,0.2505800464037123,0.814385150812065,0.2273781902552204,0.29273008507347253,0.5324825986078886,0.4231438515081206
330,0.7781986764856266,0.7781986764856266,0.7720029219480274,1706.367908365795,0.7214666593469274,353,391,744,29,11,40,1.6312686447054148,0.5770187843590975,2.2082874290645123,72494.34946757706,56157.87402124249,71544.93077605037,55509.839165044716,73287.56454113155,57088.196773934935,71461.05015251007,55418.97353250324,1706.3679083657955,1327.8932478878094,0.4546354446842832,0.3521841387043604,0.4486813338855256,0.3481201031321789,0.45960995221961887,0.35801849271231523,0.4481552914440979,0.3475502554466639,2.4922569061445214,2.9239375838786765,0.11724188231149905,0.1636928405995051,1.4253515241613814,1.3157558073864242,0.19166663135201797,216987.06030925817,157071.61977149063,214952.76438363874,156126.7221816355,219287.9836424535,159472.0856545252,214775.42607993266,155942.1994882119,3642.609986220938,2838.4528884099796,0.6622566300092116,0.47939135832201213,0.6560478451986239,0.4765074780912305,0.6692791765628159,0.48671771429865346,0.6555065987887387,0.4759443045225727,2.05782254347256,2.2134821601069006,0.08250105748328611,0.11818777134699912,1.0192470584068019,0.7190479635479818,0.17309965656105875,0.33642691415313225,0.388631090487239,0.9327146171693735,0.654292343387471,0.45978344934261406,0.6606728538283062,0.578016241299304
331,1.1069281377850957,1.0,0.9210290223723424,1377.0389469948293,0.676408840567523,442,382,824,24,31,55,1.9790205527096987,1.1389897875487804,3.118010340258479,76866.64105412795,46987.90433797962,75195.11366289004,46727.42726988252,75555.9311539975,48542.065470127156,75226.95761565858,46638.623063032515,1377.0389469948293,1524.283157254536,0.48205549527222524,0.2946763015376005,0.47157280794005896,0.2930427658406239,0.4738356107891676,0.30442294720880464,0.4717725116374334,0.29248584602042266,0.43540398922278684,3.921222528666437,-0.042348433584791345,0.19004728494274425,2.133153492832785,0.7433429514854745,0.15467497654934187,151775.96448055535,94712.68717772211,149406.3935339336,94039.84042505838,149245.31792922493,96693.93707814848,149443.32188806287,93918.52655914449,2065.031300073275,2217.3010541933463,0.4632287225331922,0.289068412374628,0.4559966596284232,0.28701484649702846,0.45550504788439095,0.2951152977529192,0.45610936702822197,0.2866445898010807,-0.13267013102001915,2.8703045949622337,-0.02471671610284085,0.12900262842381935,1.5368985467994367,0.8384944427639677,0.09813189174319674,0.9605568445475638,0.6774941995359629,0.9025522041763341,0.060904872389791184,0.5663186388244393,0.7900232018561485,0.650377030162413
332,0.6354160949522956,0.6354160949522956,0.6829424429351598,1012.0303326306008,0.6057160224803859,480,387,867,28,14,42,1.7246315032243729,0.4830926563590765,2.2077241595834494,60876.381650605355,40060.07950149174,60602.291197282706,40122.43835433977,62740.509904096645,42810.64807145181,60470.05661917337,39733.79751513305,1012.030332630601,643.0603619334089,0.38177542175023427,0.2512296777888053,0.3800565121242393,0.2516207502655264,0.39346597120269317,0.2684793803397289,0.3792272264397286,0.24918345822755522,3.618799541785404,7.187115110202122,0.21820062492169384,0.9686371395837483,0.6674592352811901,0.8144816246471503,0.11367562864396505,99298.72827787526,77347.09388511974,97687.20938522374,76223.06034191875,99561.84765553864,79640.6844466514,97832.05886426651,76004.16162143147,1690.7185616171596,1651.1187406803724,0.3030652660107043,0.23606765151967887,0.2981468203231021,0.23263703835188604,0.3038683210504525,0.24306781804452157,0.2985889090251322,0.23196894722821892,1.7374012556062806,4.5661621952231135,-0.14827885856740508,0.2871817524845555,1.4770273890159464,1.73624139735989,0.08034425960078243,0.16357308584686775,0.3874709976798144,0.8213457076566125,0.5614849187935035,0.3708430007733952,0.6044083526682135,0.48346867749419953
333,0.9715223475992908,0.9715223475992908,0.8261054801070941,317.79917937389445,0.3254242434764695,379,338,717,33,11,44,1.5425063585862517,0.4619738645851612,2.004480223171413,8742.151884803941,17540.54344128538,8442.453025095072,17253.757445667055,8715.077590209727,18415.150347192422,8448.91553840471,17162.92938601371,317.7991793738945,308.74900481045404,0.05482485378288645,0.11000240468395908,0.052945345581822394,0.10820387721796017,0.054655062150121204,0.11548734664855774,0.05298587408692498,0.10763426516414379,3.054041103478133,6.799949702119183,-0.07654781484041209,0.5264248088531824,3.354281077053238,2.152807046917787,0.03569657976946226,39282.34328072773,51128.48979376233,38818.677205703876,50395.11774992052,39519.624170014,52418.18951531011,38789.537449908865,50249.3590712517,764.1123503975641,613.8891928760008,0.119891906194232,0.15604700713498124,0.1184767714306325,0.15380871468747107,0.12061610072399039,0.15998324273400144,0.1183878352680586,0.15336385105738995,1.8474029939259895,4.137553135872689,0.07506632861443918,0.2892317454086063,1.2545224893970024,1.7194537254215627,0.036311212544910425,0.4593967517401392,0.27842227378190254,0.04524361948955916,0.5893271461716937,0.4423820572312452,0.16183294663573086,0.34309744779582363
334,0.7786139200040666,0.7786139200040666,0.7677407358702242,714.0905271885996,0.5201480296898429,360,329,689,25,27,52,1.3798052538186312,1.3781525455415249,2.757957799360156,48914.03002007591,54403.774054253474,48516.11893033064,54256.50476497039,49215.516719545936,55142.589692821726,48481.20449921031,54135.12096989388,714.0905271885996,556.000824612086,0.3067556568587943,0.3411836121202932,0.30426022809007275,0.3402600389133704,0.30864637717957266,0.3458169632552035,0.30404126843273577,0.33949880198859794,1.4920339544946641,1.8270246800886192,0.07196460040520337,0.2237221059527031,0.8848698843418625,0.49381332275162826,0.08020973973760713,107545.47566842307,119018.76679203619,106467.49280234668,118394.41775764315,107928.37290910412,120382.00457565044,106469.74286038976,118240.93100443314,1391.4788588082317,1234.7308464867547,0.3282347997498018,0.3632519252125335,0.32494473582120653,0.361346377080413,0.3294034235188499,0.36741260308517204,0.32495160312405313,0.36087792693510456,1.3514796984318513,1.778566139320113,-0.0021133756265499922,0.12964019429042,1.0002585430464084,0.65354045296249,0.06612415643805064,0.32830626450116007,0.574245939675174,0.5719257540603249,0.45707656612529,0.45320959010054135,0.5730858468677494,0.48288863109048724
335,1.7190335152922744,1.0,0.8454067470752221,381.1838442752965,0.3665393102991419,320,335,655,38,12,50,1.5441261054947972,0.4955810811370611,2.0397071866318583,20678.971926648166,28921.78264608112,19749.62015460493,28566.833491175144,19655.609235361026,29464.47083784145,19843.473124833636,28522.055235072796,381.18384427529645,655.2678037971858,0.12968450184783367,0.18137782614690648,0.12385623717266789,0.17915182552663522,0.12326666437989807,0.18478119881247146,0.12444481941622539,0.17887100664178704,-0.9557774944703104,3.1984813437012525,-0.47521405218935864,0.15674910597348754,4.040330461195978,1.3820981088884856,0.042816219761205386,52276.250119883414,66272.78951732267,50787.46383493383,65627.86525700148,50822.703883463575,67468.86964054866,50899.97355063208,65525.180848845455,900.1665931438187,1194.476440617268,0.15955003576973892,0.20226825592502526,0.15500617685727924,0.20029991105394046,0.15511373145407137,0.20591875927992437,0.1553495627949265,0.1999865125038012,-0.15203769430623904,2.8808675794607512,-0.22153048646792764,0.15646464768267532,2.632699487999169,1.1280778641161724,0.042776615863448164,0.5359628770301624,0.3004640371229698,0.08816705336426914,0.060904872389791184,0.2991105955143078,0.1943155452436195,0.2463747099767981
336,0.8603012522728922,0.8603012522728922,0.8110066440407996,735.7134418380361,0.5275886348158444,434,478,912,30,7,37,1.2621049657464027,0.23182624764740467,1.4939312133938074,14962.028182776889,29324.244623971696,14431.871247479805,28915.448414619605,15214.951675630322,30176.255147485004,14419.300976022563,28823.74599727569,735.7134418380363,632.935195327262,0.09383170393573706,0.18390179500283274,0.09050691882073929,0.18133810213864393,0.09541786872635913,0.18924502776618632,0.09042808659456253,0.1807630067057727,5.229400109644427,4.482031132090417,0.08710077329325093,0.31713987633527857,3.6273638849248453,1.7067741492200759,0.08263851912952551,50666.18527289234,66941.68278805778,50026.88393301432,66591.92769485619,51185.98628178953,68705.4080369887,49944.95554805213,66333.20412452659,1322.8015238162352,981.0514044931828,0.1546360279107223,0.204309755554918,0.15268484450695355,0.20324228347145776,0.1562224896284718,0.20969274354486733,0.1524347944991336,0.2024526446812634,2.424551764823413,3.452717886756437,0.16376871498110807,0.3885209203060623,1.423493244963306,0.9089682813288026,0.06286055612244927,0.4176334106728538,0.11136890951276102,0.5928074245939675,0.7296983758700696,0.4195668986852281,0.35208816705336426,0.462877030162413
337,0.8311720995842636,0.8311720995842636,0.7873067309074484,470.8480181321826,0.4168206842129662,454,353,807,30,5,35,1.8005365878343582,0.3567459024488926,2.157282490283251,22255.753075036286,29881.85447292123,21943.889636391887,29706.886990739265,22556.618941935598,30883.73064439115,21931.375061566105,29592.958418119233,470.8480181321827,391.3557358160157,0.13957300493575836,0.18739874619281324,0.13761720873715563,0.18630146868565162,0.14145983181526942,0.1936818347656479,0.13753872580251672,0.18558698586518685,2.7718865224392584,4.1794569481726045,0.057029884095972684,0.38350895755434017,1.4575018530108763,0.9667942632669946,0.05288768797849617,38373.86729182657,54477.67442018332,37731.83032370102,54137.88760133146,38553.955808192346,56168.03671807819,37735.25703434688,53948.85384495766,795.021697440817,718.5294204343334,0.1171191867242485,0.16626890571644973,0.11515965403024288,0.16523185736318077,0.11766882693681129,0.1714279858814282,0.11517011254256666,0.16465491577838917,2.123514323454965,3.950971055405025,-0.009081750385459556,0.34917091292115654,1.6641800854294122,0.9707106275258759,0.03778004873048967,0.3619489559164733,0.3619489559164733,0.20765661252900233,0.6682134570765661,0.4640371229698375,0.2848027842227378,0.39994199535962877
338,0.185176240143281,0.185176240143281,0.4204709945219977,939.2743841242088,0.587765012512159,382,370,752,32,10,42,1.9576223008334637,0.38998448848724365,2.3476067893207073,24784.923878484733,38466.6503619866,25376.335656765787,38669.95940099831,26826.97746873724,39888.284135005204,24804.717545438914,38306.85827911808,939.2743841242088,173.9312989150168,0.15543425069288538,0.2412367697796671,0.15914318468270738,0.24251178632976064,0.16824062731247016,0.2501522936421659,0.15555838316174314,0.2402346620956131,7.5381579071103495,3.964637462305118,2.2525636445641455,0.9389746653596395,-0.0798617217919519,0.4154042043297471,0.10550336550383355,71322.39258957046,76809.52110596467,71802.5017611629,77004.28283824865,74554.53811564588,80063.87518788606,70972.28859337134,76227.85774096561,2265.2123375561646,892.5515772505642,0.21767992659674548,0.23442694936628536,0.2191452466096631,0.23502137305354726,0.22754461530558975,0.2443594198282488,0.21661138964184534,0.23265168028178293,4.804871189353885,4.791196326581068,1.1562454614089914,1.0082881999095525,0.49087528262521735,0.7572802910678251,0.10764465016899626,0.033642691415313224,0.4280742459396752,0.7853828306264501,0.9292343387470998,0.46365042536736273,0.6067285382830626,0.5440835266821346
339,0.7327407524438633,0.7327407524438633,0.7434391532742677,770.6486151267686,0.5391344314976794,474,464,938,41,13,54,1.858214233070612,1.032123375684023,2.890337608754635,34498.286599302795,28871.16179246432,34139.563958400904,28861.318740624236,34994.953117348094,30504.207430401584,34084.6067183444,28618.210744831013,770.6486151267686,564.6856461178094,0.21634988084050016,0.18106036644882803,0.21410021547261254,0.1809986374963892,0.21946463674837005,0.19130172229581568,0.2137555608967013,0.17947402885329503,2.60136481952423,6.182742790068108,0.16097815462279297,0.8423315579514166,1.199131672141511,0.8761374046933357,0.08656258904851681,53319.92027614105,59637.04763023471,52567.11854529495,58873.71615284952,53661.90874334199,61613.39474647262,52526.24768745466,58566.84304634438,1226.8719966815372,989.8368338232685,0.16273537539109365,0.1820156009810367,0.16043778245341023,0.17968587066867345,0.16377914329811868,0.18804752278809156,0.1603130423120381,0.17874927680420566,2.116326240497799,4.944625616985117,0.07774985384651774,0.5212395726956147,1.488510456459801,1.7945297871314554,0.05830191046345893,0.27494199535962877,0.617169373549884,0.6310904872389791,0.6647331786542924,0.5189481825212684,0.6241299303944315,0.546983758700696
