shuffle_id,val_mse,test_mse
50,0.35123265576195284,0.3834554229051615
51,0.3514748694240967,0.38431573550949344
52,0.35139116669980774,0.3842010498188773
53,0.35152283006276397,0.3840562746524335
54,0.35158671260330526,0.38443457195089337
55,0.351557821867333,0.3843292963994992
56,0.3515511372384413,0.3841709797137301
57,0.35158631209483854,0.3843736567997224
58,0.35156850907434556,0.3843250123570609
59,0.3513698114748692,0.38395059421302297
60,0.35130172157448375,0.38375698558000354
61,0.3514403083779777,0.3840591360042305
62,0.35131541219135226,0.3838738156826058
63,0.3514540624688151,0.3842043372825965
64,0.3514380683247085,0.38378960797739703
65,0.35146402114425573,0.3841147731298868
66,0.3514454206395617,0.3842366763334859
67,0.3514524573648737,0.38418112053033704
68,0.3514330524722298,0.3841749746655344
69,0.3513695786492618,0.3838457166122799
70,0.35126788877781073,0.38385966113869674
71,0.35147141386133257,0.3841881468763798
72,0.3510835611443563,0.38322451966763643
73,0.3514902927561399,0.38422821325888296
74,0.35104811369720673,0.38347639589036114
75,0.35142079800434683,0.38392606792641987
76,0.3513561299517929,0.38382154216351105
77,0.35147818327608943,0.3841905110265258
78,0.3512053374060952,0.38347097060150126
79,0.35152967155527415,0.38419778739592786
80,0.3515864055000106,0.3842934610159349
81,0.3515231509698032,0.3842786041552312
82,0.35156326200505356,0.3841873214593338
83,0.35130021918594173,0.38380777551642087
84,0.3515535595860954,0.3841975894819136
85,0.35084308133032155,0.3828693244538355
86,0.3515822664831758,0.38420776265373274
87,0.3514446818253608,0.38419682524250015
88,0.3515901760758143,0.3843232215553462
89,0.3515130208196179,0.3841459470432032
90,0.35143542538222194,0.38414004162235194
91,0.35157305606078904,0.38428268572303825
92,0.3515418662719151,0.3843241567958835
93,0.3513239997658341,0.38381073937004906
94,0.3514331608796837,0.3839340978990555
95,0.3514730236521701,0.384077638240809
96,0.3514926255311367,0.38429606961474977
97,0.35133629826260515,0.38399685108365494
98,0.3514723845877377,0.3842289362922109
99,0.3514850342530277,0.3842284408547325
100,0.3515035567857823,0.38422380200336104
101,0.35157418158958526,0.38432753139573295
102,0.3509707825529364,0.3831312189265985
103,0.35165506621708503,0.38414451974334674
104,0.3513852557332204,0.384054998002547
105,0.3516340377990262,0.3842896214221998
106,0.3514765722436515,0.38435738172146683
107,0.35143183609842477,0.38400878121891424
108,0.3515190368951779,0.38413288306059606
109,0.35142630588112445,0.384162571565278
110,0.35157106352394507,0.38431551442632295
111,0.3514044624729158,0.3841791114624778
112,0.35160819970447627,0.3842078064116602
113,0.3514844072725652,0.3843799061704879
114,0.3515408278801542,0.38420083870515065
115,0.35150233824664767,0.38401634299004384
116,0.35165725576116896,0.38432744448343625
117,0.3514182902526545,0.3840749291929051
118,0.35159501839542306,0.38433524656545154
119,0.3512930787291902,0.3839140789943428
120,0.35163318182026465,0.38425164966739983
121,0.35156837758033843,0.38437174140686176
122,0.35132414098623577,0.3841653764315484
123,0.35118978979457766,0.3838904331203805
124,0.3512258784127934,0.3836028408348466
125,0.3514651849339151,0.38405829753685133
126,0.35163675709237374,0.38425346668390375
127,0.3514975212453085,0.38400757154977794
128,0.3514662647138836,0.3839162021176191
129,0.3514258795086851,0.3841999595673903
130,0.35122807591486777,0.38356065769867576
131,0.3515254056518403,0.3842517972161501
132,0.35171078010577406,0.38454375790935874
133,0.3511749298640422,0.3838009752948737
134,0.3515009372194793,0.38416309348651323
135,0.3513208432444352,0.3839940761885272
136,0.351132048289441,0.38329752420967916
137,0.35155570188756974,0.3842521525643097
138,0.35114503837258276,0.3836776806540799
139,0.35160153705541614,0.3844647361152679
140,0.3515552848361676,0.38427909750914707
141,0.35145858422263715,0.3841588514764592
142,0.3510144621153284,0.3828500481016906
143,0.3513869146391851,0.3839499530093668
144,0.3514529495213294,0.3842827828377653
145,0.35158117956364143,0.3841843440748645
146,0.351399555752249,0.3839682349706019
147,0.3514751141077442,0.3841281310985175
148,0.3514412584470823,0.38419443177514656
149,0.35158673150478015,0.3841844447327235
150,0.3514620716277256,0.3842696764485711
151,0.3513750881888487,0.38402180070860586
152,0.3516811208314918,0.38453997491902686
153,0.3516248651236187,0.3843075386155567
154,0.3514886872582937,0.3842721714716905
155,0.3515299582434928,0.3841104180028933
156,0.3516241469680056,0.38418378994383784
157,0.3514812892410169,0.38421048397372787
158,0.35138928707365974,0.38402231074035387
159,0.35134535174902354,0.38376326353347706
160,0.3512993293851942,0.38378919984018495
161,0.3511267059315438,0.38338868789723024
162,0.3513609893068355,0.38397560820945414
163,0.35107616206295966,0.38361987063360126
164,0.35150746798531274,0.38413502483551815
165,0.35136852986889006,0.3838525862435455
166,0.35168849408390584,0.384423558877421
167,0.3514005355891242,0.3843202442768709
168,0.3516054657350024,0.3842541777515872
169,0.35142488546724343,0.384193110729774
170,0.35163086787491926,0.38437999910785253
171,0.35155868965708303,0.38426623279925126
172,0.3514278079339925,0.3839038980950231
173,0.35162686371883084,0.3844165298385743
174,0.35149221240495093,0.38433423499764663
175,0.35145213215906057,0.38417453132592627
176,0.3515060340268647,0.38417415799426974
177,0.35109799679174825,0.38360087096196616
178,0.3514486919865381,0.3841707872133815
179,0.35105327427812716,0.3829310928489251
180,0.35117019811590594,0.38357203320089384
181,0.351503532407795,0.3842396779229634
182,0.3514857314136337,0.3842095999632011
183,0.3515691247617781,0.38433002292562585
184,0.35152882393788126,0.3842656868886983
185,0.3514946592707675,0.38417948683387904
186,0.35098796650414477,0.38322351223833784
187,0.3514561252192458,0.3840827542861035
188,0.3515796308095207,0.384356190796134
189,0.3515041401482558,0.3841049436239381
190,0.3515755741277681,0.384101894000305
191,0.351345284442652,0.38369647870670165
192,0.35139688946756764,0.3839516002801296
193,0.35166300642614406,0.3844979943859067
194,0.3513176600448241,0.38391261615029054
195,0.35164261965568216,0.38446723379386954
196,0.3513501805662322,0.3838676299044658
197,0.35142702588428415,0.3841495221339891
198,0.3512453944198359,0.38386042057459946
199,0.35161221456527303,0.38420929759816125
200,0.3514645275443952,0.3841262291712684
201,0.3516208741854835,0.38449257269732146
202,0.35157254588199505,0.3842999787820542
203,0.35139455528613023,0.3839457877084764
204,0.35122024008675434,0.38379618403057014
205,0.3515057490255893,0.38415857550847043
206,0.351573906767772,0.3843433686800237
207,0.35156978394331156,0.3841258466263194
208,0.3514279325690837,0.3841052280981729
209,0.35127421165961553,0.3838405150475047
210,0.35162671031641735,0.38417860113887775
211,0.35161416078725805,0.38432717069508865
212,0.35157500525028884,0.3841207718423672
213,0.3514150025388498,0.38397871770977554
214,0.3515655615753436,0.3840934469631779
215,0.3516092972261568,0.3843326590592291
216,0.3510930636835997,0.3832449423310848
217,0.3514442802757335,0.38408499121403533
218,0.35156756355190055,0.3842709034869727
219,0.3513759698017022,0.38386720889490794
220,0.3514722729294993,0.3841398118794027
221,0.3515234683336244,0.38422792299990616
222,0.35142088419792983,0.38416264001717754
223,0.3515933860556492,0.38431276248725593
224,0.3516973020406911,0.3844621439736924
225,0.35139889483215664,0.38400491626647076
226,0.3512497051190106,0.3836328643281431
227,0.3510473553835376,0.38355676672737393
228,0.3514220449631721,0.38408789752616473
229,0.35141767561714354,0.3839983964776263
230,0.3512820803073196,0.3838055572042182
231,0.351607265087863,0.3842583057000918
232,0.3515011200067971,0.3839591718091888
233,0.35130515032491466,0.383838266649549
234,0.3514764377692577,0.38397619708171793
235,0.35126502402556775,0.38386484669446164
236,0.35124193654108393,0.3835233403371737
237,0.3514804888350799,0.3841186189097967
238,0.3510918024981603,0.3834542925368431
239,0.35152847677987203,0.38427108063125653
240,0.35152288418443806,0.3842246486918702
241,0.35169548157611785,0.3844463654939128
