ensemble,kind,candidate,group,projection,weight,weight_mean,weight_min,weight_max,weight_std,alpha_mean
blend_baseline_static_alpha_0.30,baseline_static_blend,static_p2,static,2,0.075,0.075,0.075,0.075,0.0,0.3
blend_baseline_static_alpha_0.30,baseline_static_blend,static_p3,static,3,0.075,0.075,0.075,0.075,0.0,0.3
blend_baseline_static_alpha_0.35,baseline_static_blend,baseline_p0,baseline,0,0.1625,0.1625,0.1625,0.1625,0.0,0.35
blend_baseline_static_alpha_0.35,baseline_static_blend,baseline_p1,baseline,1,0.1625,0.1625,0.1625,0.1625,0.0,0.35
blend_baseline_static_alpha_0.35,baseline_static_blend,baseline_p2,baseline,2,0.1625,0.1625,0.1625,0.1625,0.0,0.35
blend_baseline_static_alpha_0.35,baseline_static_blend,baseline_p3,baseline,3,0.1625,0.1625,0.1625,0.1625,0.0,0.35
blend_baseline_static_alpha_0.35,baseline_static_blend,static_p0,static,0,0.0875,0.0875,0.0875,0.0875,0.0,0.35
blend_baseline_static_alpha_0.35,baseline_static_blend,static_p1,static,1,0.0875,0.0875,0.0875,0.0875,0.0,0.35
blend_baseline_static_alpha_0.35,baseline_static_blend,static_p2,static,2,0.0875,0.0875,0.0875,0.0875,0.0,0.35
blend_baseline_static_alpha_0.35,baseline_static_blend,static_p3,static,3,0.0875,0.0875,0.0875,0.0875,0.0,0.35
blend_baseline_static_alpha_0.40,baseline_static_blend,baseline_p0,baseline,0,0.15,0.15,0.15,0.15,0.0,0.4
blend_baseline_static_alpha_0.40,baseline_static_blend,baseline_p1,baseline,1,0.15,0.15,0.15,0.15,0.0,0.4
blend_baseline_static_alpha_0.40,baseline_static_blend,baseline_p2,baseline,2,0.15,0.15,0.15,0.15,0.0,0.4
blend_baseline_static_alpha_0.40,baseline_static_blend,baseline_p3,baseline,3,0.15,0.15,0.15,0.15,0.0,0.4
blend_baseline_static_alpha_0.40,baseline_static_blend,static_p0,static,0,0.1,0.1,0.1,0.1,0.0,0.4
blend_baseline_static_alpha_0.40,baseline_static_blend,static_p1,static,1,0.1,0.1,0.1,0.1,0.0,0.4
blend_baseline_static_alpha_0.40,baseline_static_blend,static_p2,static,2,0.1,0.1,0.1,0.1,0.0,0.4
blend_baseline_static_alpha_0.40,baseline_static_blend,static_p3,static,3,0.1,0.1,0.1,0.1,0.0,0.4
blend_baseline_static_alpha_0.45,baseline_static_blend,baseline_p0,baseline,0,0.1375,0.1375,0.1375,0.1375,0.0,0.45
blend_baseline_static_alpha_0.45,baseline_static_blend,baseline_p1,baseline,1,0.1375,0.1375,0.1375,0.1375,0.0,0.45
blend_baseline_static_alpha_0.45,baseline_static_blend,baseline_p2,baseline,2,0.1375,0.1375,0.1375,0.1375,0.0,0.45
blend_baseline_static_alpha_0.45,baseline_static_blend,baseline_p3,baseline,3,0.1375,0.1375,0.1375,0.1375,0.0,0.45
blend_baseline_static_alpha_0.45,baseline_static_blend,static_p0,static,0,0.1125,0.1125,0.1125,0.1125,0.0,0.45
blend_baseline_static_alpha_0.45,baseline_static_blend,static_p1,static,1,0.1125,0.1125,0.1125,0.1125,0.0,0.45
blend_baseline_static_alpha_0.45,baseline_static_blend,static_p2,static,2,0.1125,0.1125,0.1125,0.1125,0.0,0.45
