group,rank,target,target_name,abs_delta_sum,mass_share,active_source_count,top_source,top_source_mass
fold4_all,26,196,196,84.70603269338608,0.001479832877577489,2,199,84.00469321012497
fold4_all,27,680,680,84.26400858163834,0.0014721106198769772,5,492,67.87162882089615
fold4_all,28,848,848,75.26869630813599,0.0013149605513028831,3,799,46.8726949095726
fold4_all,29,711,711,66.31603956222534,0.0011585556841050488,4,296,43.89442890882492
fold4_all,30,286,286,65.22372621297836,0.0011394727315049244,8,640,24.969777643680573
fold4_all,31,799,799,64.45245409011841,0.001125998439194499,2,327,39.97421771287918
fold4_all,32,464,464,63.80111801624298,0.0011146194558349306,4,683,54.49028146266937
fold4_all,33,597,597,62.57738131284714,0.0010932405085557143,2,606,60.123479306697845
fold4_all,34,270,270,58.859461426734924,0.0010282876367386212,1,680,58.859461426734924
fold4_all,35,796,796,58.267538368701935,0.0010179466117322426,1,27,58.267538368701935
fold4_all,36,170,170,53.60372132062912,0.0009364687100610972,3,537,51.69566249847412
fold4_all,37,376,376,52.59270417690277,0.0009188060199136745,1,327,52.59270417690277
fold4_all,38,544,544,52.113795936107635,0.0009104393884290344,1,161,52.113795936107635
fold4_all,39,554,554,51.06019467115402,0.0008920327443901225,1,649,51.06019467115402
fold4_all,40,787,787,49.81112480163574,0.0008702112211699836,2,16,49.17505395412445
fold4_all,41,467,467,43.45909321308136,0.0007592398430371071,2,522,34.53218114376068
fold4_all,42,742,742,39.71927708387375,0.0006939044390744549,2,713,34.57900828123093
fold4_all,43,198,198,37.666079103946686,0.0006580346222708521,1,713,37.666079103946686
fold4_all,44,360,360,34.93140661716461,0.0006102592971060519,1,377,34.93140661716461
fold4_all,45,824,824,34.69034516811371,0.0006060479009813714,1,649,34.69034516811371
fold4_all,46,476,476,32.89494413137436,0.0005746818530374089,1,87,32.89494413137436
fold4_all,47,245,245,32.88233828544617,0.0005744616261579168,1,61,32.88233828544617
fold4_all,48,567,567,32.8655526638031,0.0005741683776844829,2,232,29.108533680438995
fold4_all,49,743,743,32.85718536376953,0.0005740221991267991,1,524,32.85718536376953
fold4_all,50,183,183,31.465675055980682,0.0005497122103635703,1,784,31.465675055980682
fold4_all,51,244,244,27.471509158611298,0.0004799332604412996,2,48,20.54668802022934
fold4_all,52,850,850,24.537814259529114,0.00042868097029854374,9,653,5.959013640880585
fold4_all,53,88,88,24.226254880428314,0.00042323795995027376,2,653,18.47415339946747
fold4_all,54,295,295,22.86360937356949,0.00039943224555880774,4,747,13.693651139736176
fold4_all,55,579,579,21.821049869060516,0.000381218503484641,2,269,18.117795646190643
fold4_all,56,171,171,18.115573346614838,0.00031648301994646825,2,640,9.676110446453094
fold4_all,57,817,817,17.96966588497162,0.00031393398474840767,2,351,11.85693883895874
fold4_all,58,835,835,17.683470368385315,0.00030893408661372907,2,232,13.815970122814178
fold4_all,59,598,598,17.337910294532776,0.0003028970767077626,1,439,17.337910294532776
fold4_all,60,115,115,16.81090086698532,0.00029369010699285456,1,529,16.81090086698532
fold4_all,61,683,683,15.968121707439423,0.0002789665711456784,1,53,15.968121707439423
fold4_all,62,56,56,14.526394665241241,0.00025377928507291204,1,68,14.526394665241241
fold4_all,63,206,206,14.168558895587921,0.00024752781608223205,2,472,10.607799470424652
fold4_all,64,642,642,14.127417802810669,0.00024680907221269417,1,516,14.127417802810669
fold4_all,65,352,352,13.64411735534668,0.0002383657079189847,1,713,13.64411735534668
fold4_all,66,520,520,12.968679070472717,0.0002265656536731543,3,777,11.652427554130554
fold4_all,67,27,27,12.867852449417114,0.00022480419059869752,1,383,12.867852449417114
fold4_all,68,702,702,12.409830570220947,0.0002168024484094752,1,566,12.409830570220947
fold4_all,69,671,671,12.27895337343216,0.00021451599521865838,1,208,12.27895337343216
fold4_all,70,820,820,10.225312054157257,0.00017863843317989344,1,649,10.225312054157257
fold4_all,71,136,136,9.954009056091309,0.00017389871059394024,2,172,8.548565030097961
fold4_all,72,69,69,9.879085004329681,0.0001725897710580808,1,839,9.879085004329681
fold4_all,73,855,855,9.809836447238922,0.00017137998365275345,2,835,8.485543072223663
fold4_all,74,23,23,9.118552684783936,0.00015930310545543195,2,334,4.89169716835022
fold4_all,75,696,696,7.444223403930664,0.0001300522075097558,1,357,7.444223403930664
