rank_type,split,sample_id,fold,gamma,gamma_rank_pct,lambda_value,lambda_rank_pct,gamma_ordinal_rank_pct,anchor_mse,stage3_mse,mse_gain,mse_gain_pct,sse_gain,err_dot_dyn,dyn_sq
best_sse_gain,test,1289,2,0.04223961383104324,0.9696747729270436,0.9644792079925537,0.9696747729270436,0.9692352768825081,0.45480670874058504,0.4489952611332846,0.005811447607300457,1.277784055427208,480.90891239932535,4276.099241453968,33849.37848632491
best_sse_gain,test,1269,2,0.04856110364198685,0.9819806621740405,0.9771221876144409,0.9819806621740405,0.9827131555815998,0.4335393521863631,0.4278279755677588,0.005711376618604269,1.3173836676651103,472.62783794273855,3588.0712920897927,23782.630540973107
best_sse_gain,test,1251,2,0.03531608730554581,0.9384705537650161,0.9506321549415588,0.9384705537650161,0.9381775564019924,0.4712680132318057,0.4658172427499893,0.005450770481816414,1.1566179602211422,451.06215891127067,4023.5552384055122,23516.73860194952
best_sse_gain,test,1287,2,0.04314268380403519,0.9727512452387929,0.9662853479385376,0.9727512452387929,0.9727512452387929,0.45384599546805704,0.4484605464189766,0.0053854490490804485,1.1866247808414323,445.65667970950744,3931.381656265809,31266.56745098882
best_sse_gain,test,1250,2,0.031101742759346962,0.9321711104600059,0.9422034621238708,0.9321711104600059,0.9323176091415177,0.470252205912966,0.4648865894825934,0.005365616430372588,1.1410082425781654,444.0154908461918,4248.242512738422,21837.559422718692
best_sse_gain,test,1280,2,0.0434437170624733,0.9749487254614708,0.9668874144554138,0.9749487254614708,0.9745092294169353,0.42950130028449524,0.4246114304812729,0.004889869803222313,1.138499417809291,404.64650595625426,3565.8771327288905,28480.750328800452
best_sse_gain,test,1272,2,0.04916317015886307,0.9840316437152066,0.9783263206481934,0.9840316437152066,0.9841781423967184,0.429639628089688,0.42479598000543,0.004843648084257968,1.12737461062294,400.8215662685179,3124.2511651519803,22090.32599093627
best_sse_gain,test,1277,2,0.04675496369600296,0.9800761793143862,0.9735099077224731,0.9800761793143862,0.9803691766774099,0.4320753332607461,0.42725723437762814,0.0048180988831179605,1.1151062123257947,398.7073187757778,3265.6057158702542,24247.850535941252
best_sse_gain,test,1273,2,0.04946417361497879,0.984617638441254,0.9789283275604248,0.984617638441254,0.9844711397597422,0.43199787869121714,0.4271814873316823,0.004816391359534822,1.114910881999371,398.5660177842292,3129.2469096823806,22538.115503081674
best_sse_gain,test,1270,2,0.04886213690042496,0.9834456489891591,0.9777242541313171,0.9834456489891591,0.9835921476706709,0.4307587917972168,0.42605250548497453,0.0047062863122422915,1.0925572273537747,389.45460491067206,2910.897870942185,18793.248485773227
best_sse_gain,test,1271,2,0.04916317015886307,0.9840316437152066,0.9783263206481934,0.9840316437152066,0.9838851450336947,0.4334299633950546,0.4287339991036222,0.004695964291432375,1.083442467763168,388.60043704460986,2924.8645723100676,19298.788385841865
best_sse_gain,test,1276,2,0.04856110364198685,0.9819806621740405,0.9771221876144409,0.9819806621740405,0.9830061529446235,0.43225209031797746,0.4275775911005164,0.004674499217461048,1.0814289443973186,386.82415924333327,3173.9939594447314,24352.081117417933
best_sse_gain,test,1281,2,0.04314268380403519,0.9727512452387929,0.9662853479385376,0.9727512452387929,0.9721652505127454,0.43441234211680496,0.4297429179342379,0.00466942418256705,1.0748829464222573,386.4041899557924,3251.963310177054,23476.916533481886
best_sse_gain,test,1268,2,0.04856110364198685,0.9819806621740405,0.9771221876144409,0.9819806621740405,0.982420158218576,0.433089078622702,0.4285103855231596,0.004578693099542397,1.0572174006565649,378.89601137333375,2981.1671631045097,21221.767650592497
best_sse_gain,test,1252,2,0.03862733393907547,0.9563433929094638,0.9572546482086182,0.9563433929094638,0.957222384998535,0.4657161927014744,0.46117099606783823,0.004545196633636173,0.9759584710316608,376.12411182666256,3386.082552817564,24639.78949330544
best_sse_gain,test,1275,2,0.04946417361497879,0.984617638441254,0.9789283275604248,0.984617638441254,0.9847641371227659,0.43326615092904325,0.42879118320869075,0.004474967720352496,1.032844987026316,370.31252879460953,3124.284703784783,25324.68859069156
best_sse_gain,test,1274,2,0.0497652068734169,0.9850571344857896,0.979530394077301,0.9850571344857896,0.9850571344857896,0.4350111803364887,0.43060687867984193,0.004404301656646792,1.0124571173641992,364.4647706908363,2922.3090057501645,21930.73162313838
best_sse_gain,test,1253,2,0.039831437170505524,0.9622033401699385,0.9596628546714783,0.9622033401699385,0.9619103428069148,0.46378630289851236,0.4593934875179785,0.0043928153805338765,0.9471636728122889,363.5142583699417,3192.7533062538987,22875.76149654775
best_sse_gain,test,1278,2,0.045249857008457184,0.9775857017286844,0.9704996943473816,0.9775857017286844,0.9771462056841489,0.43000922940400477,0.4256351416911451,0.004374087712859687,1.0172078675897718,361.96450641456613,3186.9636646501563,26235.518094938656
best_sse_gain,test,1279,2,0.0434437170624733,0.9749487254614708,0.9668874144554138,0.9749487254614708,0.9742162320539115,0.4278462611411738,0.42362514111849575,0.004221120022678049,0.9865973846351392,349.3061241166506,3225.1270317384297,27967.675300445844
best_sse_gain,test,1267,2,0.04856110364198685,0.9819806621740405,0.9771221876144409,0.9819806621740405,0.9821271608555523,0.4353083140560542,0.43120336992168307,0.004104944134371125,0.9429969522343042,339.6923370074801,2763.0750637501765,20886.816889751768
best_sse_gain,test,1257,2,0.03772426396608353,0.9513624377380604,0.9554485082626343,0.9513624377380604,0.9516554351010841,0.45463061960019513,0.45056212219329306,0.004068497406902072,0.894901757932612,336.6762974159574,2961.14043247633,19350.277689421353
best_sse_gain,test,1254,2,0.039831437170505524,0.9622033401699385,0.9596628546714783,0.9622033401699385,0.9622033401699385,0.4581986427921684,0.4541537939810635,0.004044848811104895,0.8827718882920337,334.71932881655084,2965.0563584495635,21696.61676134118
best_sse_gain,test,1469,2,0.04645396023988724,0.9793436859068269,0.9729079008102417,0.9793436859068269,0.979197187225315,0.30617331439448087,0.30217144214649017,0.004001872247990701,1.3070610859425178,331.16293226572816,3030.2220695619712,26865.55936115656
best_sse_gain,test,1249,2,0.026285389438271523,0.9282156460591855,0.93257075548172,0.9282156460591855,0.9282156460591855,0.4670444162158132,0.46305768637695194,0.00398672983886128,0.8536082865872613,329.9098676254507,3734.3983512980553,22698.15540939418
best_sse_gain,test,1465,2,0.040132470428943634,0.9642543217111046,0.9602649211883545,0.9642543217111046,0.9642543217111046,0.30984101738008146,0.30587169805254233,0.003969319327539134,1.2810825890976134,328.4691129925159,3121.4450093783,26793.502103445888
best_sse_gain,test,1468,2,0.04585189372301102,0.9784646938177557,0.9717037677764893,0.9784646938177557,0.9783181951362437,0.3050923167056419,0.3012091913719526,0.0038831253336892857,1.272770607801241,321.33638761345355,3037.6657189943667,28038.782598643444
best_sse_gain,test,1261,2,0.0434437170624733,0.9749487254614708,0.9668874144554138,0.9749487254614708,0.9739232346908878,0.4403326771945302,0.436468762272315,0.0038639149222151614,0.8774990188857051,319.7466876431499,2845.598835630008,23147.04061964553
best_sse_gain,test,1255,2,0.039831437170505524,0.9622033401699385,0.9596628546714783,0.9622033401699385,0.9624963375329622,0.45574220581262115,0.4519089020946791,0.0038333037179420493,0.8411122931015338,317.21354926713684,2824.090419153344,20916.03233043402
best_sse_gain,test,1256,2,0.03922940045595169,0.9592733665397012,0.9584587812423706,0.9592733665397012,0.9592733665397012,0.4591213705598411,0.45530724704591746,0.0038141235139236285,0.830744059957998,315.6263490242054,2710.3624314010085,17816.93993040657
best_sse_gain,test,1282,2,0.0434437170624733,0.9749487254614708,0.9668874144554138,0.9749487254614708,0.974802226779959,0.4429598908923491,0.4392133994042256,0.0037464914881235045,0.8457857167555607,310.0296636251951,2939.2463278544096,26589.766453674427
best_sse_gain,test,1466,2,0.04223961383104324,0.9696747729270436,0.9644792079925537,0.9696747729270436,0.970407266334603,0.3081653862602158,0.30443514672488226,0.003730239535333524,1.210466749884654,308.6847820279181,2948.1341570343106,26542.56897657417
best_sse_gain,test,2568,4,0.009999999776482582,0.45282742455317904,0.523780882358551,0.023732786404922355,0.6580720773513038,0.8434915211541343,0.8397866752029401,0.0037048459511941356,0.4392274087266297,306.58341215322434,7953.0590607659715,28847.359206637673
best_sse_gain,test,1260,2,0.04223961383104324,0.9696747729270436,0.9644792079925537,0.9696747729270436,0.9689422795194843,0.4388121508156937,0.4351282829926045,0.0036838678230892152,0.8395090738124258,304.8474300962771,2644.748461971763,19897.766574406425
best_sse_gain,test,2569,4,0.009999999776482582,0.45282742455317904,0.523780882358551,0.023732786404922355,0.6583650747143276,0.8372073869787471,0.8335304865034764,0.0036769004752706946,0.43918633930591855,304.27086812960624,7895.058704537206,28828.683771648513
best_sse_gain,test,2552,3,0.009999999776482582,0.45282742455317904,0.5249849557876587,0.03325520070319367,0.6533841195429241,0.9727519087290388,0.9691065346804444,0.003645374048594441,0.3747485886054287,301.6619932692847,7880.714672549601,33916.46798316542
best_sse_gain,test,1846,3,0.009999999776482582,0.45282742455317904,0.7802528738975525,0.7267799589803692,0.4559038968649282,0.4212605296248649,0.4176374226862586,0.003623106938606291,0.8600632349374602,299.81934538354835,8013.7769766750325,51829.31861339564
