ensemble,kind,candidate,group,projection,weight,weight_mean,weight_min,weight_max,weight_std,alpha_mean
blend_baseline_static_alpha_0.10,baseline_static_blend,baseline_p2,baseline,2,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.0,0.1
blend_baseline_static_alpha_0.10,baseline_static_blend,static_p0,static,0,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.0,0.1
blend_baseline_static_alpha_0.10,baseline_static_blend,static_p1,static,1,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.0,0.1
blend_baseline_static_alpha_0.10,baseline_static_blend,static_p2,static,2,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.0,0.1
blend_baseline_static_alpha_0.15,baseline_static_blend,baseline_p0,baseline,0,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.0,0.15
blend_baseline_static_alpha_0.15,baseline_static_blend,baseline_p1,baseline,1,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.0,0.15
blend_baseline_static_alpha_0.15,baseline_static_blend,baseline_p2,baseline,2,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.0,0.15
blend_baseline_static_alpha_0.15,baseline_static_blend,static_p0,static,0,0.049999999999999996,0.049999999999999996,0.049999999999999996,0.049999999999999996,0.0,0.15
blend_baseline_static_alpha_0.15,baseline_static_blend,static_p1,static,1,0.049999999999999996,0.049999999999999996,0.049999999999999996,0.049999999999999996,0.0,0.15
blend_baseline_static_alpha_0.15,baseline_static_blend,static_p2,static,2,0.049999999999999996,0.049999999999999996,0.049999999999999996,0.049999999999999996,0.0,0.15
blend_baseline_static_alpha_0.20,baseline_static_blend,baseline_p0,baseline,0,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.0,0.2
blend_baseline_static_alpha_0.20,baseline_static_blend,baseline_p1,baseline,1,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.0,0.2
