horizon,target_index,alpha_raw,alpha_clipped,alpha_shrunk,denominator,reliability,alpha_rank_desc
96,56,0.3696800552019886,0.3696800552019886,0.4284032060249653,2341.242436895688,0.4809214889607616,96
96,57,0.548619229405789,0.548619229405789,0.5134083865538603,2195.99868896522,0.4649585568916508,47
96,58,0.0040190258304335,0.0040190258304335,0.237107864876273,2663.7417582447456,0.5131716899824311,136
96,59,0.4734144003550268,0.4734144003550268,0.4781328335530209,2504.7213349284643,0.4977861712599326,68
96,60,0.2170643761022573,0.2170643761022573,0.3464038815592628,2665.059144137755,0.5132952133709379,121
96,61,0.1325838903395825,0.1325838903395825,0.3098830011732705,2464.6807143847627,0.4937576778122489,130
96,62,0.428608457747294,0.428608457747294,0.4564241160249584,2397.077589526429,0.4868074294094078,79
96,63,0.7928789550601948,0.7928789550601948,0.6354141927342981,2449.0028135414736,0.4921626592582953,10
96,64,0.465496020012274,0.465496020012274,0.4745677294539629,2295.8604168232946,0.4760370782562372,72
96,65,0.3711121108861877,0.3711121108861877,0.4317201192319418,2130.135873785067,0.457391817144882,94
96,66,0.788740456807301,0.788740456807301,0.6192855820511743,2035.200498531221,0.4461006188212329,14
96,67,0.5505320829858711,0.5505320829858711,0.5139791137859454,2154.82337609908,0.4602530187499852,45
96,68,0.7140854918079358,0.7140854918079358,0.6502614472211887,6629.956811647266,0.7240349490057146,9
96,69,0.3517577075174443,0.3517577075174443,0.4065433387287307,3517.8022913328305,0.5819548893091757,104
96,70,0.2773162285745599,0.2773162285745599,0.3690562152702589,3133.3663008814165,0.5535624539892833,111
96,71,0.1882774329267537,0.1882774329267537,0.333679514154871,2591.7917123618117,0.5063288019131912,127
96,72,0.2788401993540275,0.2788401993540275,0.3757092255742533,2793.9046750684174,0.5250807535372641,109
96,73,0.9363414825309642,0.9363414825309642,0.8263558393539847,7893.222933506982,0.7574907876659652,1
96,74,0.4818430781038151,0.4818430781038151,0.4823503940529434,2287.6958739871025,0.4751485657176492,64
96,75,0.5785018116227453,0.5785018116227453,0.5273639372812448,2201.668409351755,0.465600076885789,37
96,76,0.4186546563380254,0.4186546563380254,0.4484192441043916,2919.731451078429,0.5360520227055501,85
96,77,0.4217349381415433,0.4217349381415433,0.4535259893615704,2327.694572777793,0.479472910698698,80
96,78,0.1984046786117136,0.1984046786117136,0.3460680759842959,2340.0925251456515,0.4807988501436664,123
96,79,0.5446878606970134,0.5446878606970134,0.5138959136939933,2551.1522818487874,0.5023780507451274,46
96,80,0.1914976277670021,0.1914976277670021,0.3347893250009702,2610.391419862796,0.5081161174987934,125
96,81,0.0870681184842193,0.0870681184842193,0.2671731066726697,3025.5331137017306,0.5448923962270288,131
96,82,-0.1095653136015938,0.0,0.1769013428564796,4369.83884382012,0.6336002472983228,137
96,83,0.426639568006615,0.426639568006615,0.4568705419321719,2168.245487433628,0.4617959719310802,78
96,84,0.6225215146952138,0.6225215146952138,0.552275295884626,2498.91952139311,0.4972064264124469,24
96,85,0.6384369650500419,0.6384369650500419,0.5578517063750685,2353.175262189181,0.4821907206500577,23
96,86,0.5581502580232856,0.5581502580232856,0.5205321915270881,2534.017011303765,0.5006932339215255,42
96,87,0.4664117096431668,0.4664117096431668,0.4743248643966297,2709.5512859182318,0.5174304804358723,73
96,88,0.3872414363752701,0.3872414363752701,0.4361643064902592,2409.360509898141,0.4880843830218841,91
96,89,0.4875258745199187,0.4875258745199187,0.4851355596032902,2458.893138694133,0.4931700367151466,60
96,90,0.3625624343075025,0.3625624343075025,0.4226860510163341,2527.00007386205,0.5,99
96,91,0.2181416588283323,0.2181416588283323,0.3463702370842746,2688.8113086542016,0.515511607200229,122
96,92,0.5798121746679271,0.5798121746679271,0.5294347772746686,2338.7801151312947,0.4806588099523567,34
96,93,0.2499036057785965,0.2499036057785965,0.3668816249316857,2504.3181173928324,0.497745923075523,112
96,94,0.143932447212267,0.143932447212267,0.3172529162405695,2413.8056259334185,0.4885449403592903,129
96,95,0.5589553964967553,0.5589553964967553,0.5207780830865948,2513.1728729036518,0.4986283009428008,41
96,96,0.798329638862521,0.798329638862521,0.7105503056959219,6556.219877875248,0.7217946843422278,5
96,97,0.3998565225482869,0.3998565225482869,0.4395328827568611,2756.3122785588803,0.5217015566561907,89
96,98,0.6682264922510465,0.6682264922510465,0.5732445221076106,2406.0238312495712,0.4877381252412822,21
96,99,0.3869560416243107,0.3869560416243107,0.433784345105627,2645.5580209117293,0.5114602818254924,92
96,100,0.3630166966121343,0.3630166966121343,0.4250546158019688,2352.5453848513357,0.4821238791105848,98
96,101,0.232633599859313,0.232633599859313,0.3547218176718547,2651.181353490916,0.5119908196894084,118
96,102,0.3778310775809979,0.3778310775809979,0.4327197760661329,2306.069617526054,0.4771438784826893,93
96,103,0.4875144468467848,0.4875144468467848,0.4851099897810721,2417.557829613077,0.488933060711853,61
96,104,0.263254042151941,0.263254042151941,0.3702136600342641,2660.163951450537,0.5128359038714283,110
96,105,0.2290272115718832,0.2290272115718832,0.3338765894945301,3589.471937229568,0.5868533250410392,126
96,106,0.2127455300875842,0.2127455300875842,0.3603307594304155,2097.121857556749,0.4535178545591029,115
96,107,0.2419180129068049,0.2419180129068049,0.3638517216438092,2465.329248554532,0.4938234417919303,114
